DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato
7121950,3,1,1,1,4,4,3
7121951,3,1,2,1,6,4,3
7121952,3,1,2,1,4,1,3
7121953,3,1,1,1,6,4,3
7121954,3,1,2,1,4,4,2
7121955,3,1,1,1,4,4,3
7121956,3,1,1,1,6,4,2
7121957,3,1,2,1,4,1,3
7121959,3,1,2,1,4,1,3
7121960,2,1,1,1,4,1,3
7121961,2,1,2,1,4,1,3
7121962,2,1,2,1,4,1,3
7121963,2,1,2,1,4,1,3
7121964,2,1,1,1,4,1,3
7121966,2,1,1,1,4,1,3
7121968,2,1,2,1,4,3,3
7121969,2,1,2,1,4,3,3
7121970,2,2,1,1,7,2,2
7121971,2,2,1,1,4,1,2
7121972,2,2,1,1,6,4,2
7121973,2,1,1,1,4,2,2
7121974,2,1,2,1,4,1,2
7121975,2,1,1,1,4,3,2
7121976,2,1,1,1,4,1,2
7121977,2,1,1,2,4,3,2
7121978,2,1,1,2,4,2,2
7121979,2,1,1,1,6,1,2
7121980,2,1,1,2,4,2,2
7121981,2,1,1,1,4,1,2
7121982,2,1,1,2,4,2,2
7121983,2,1,1,2,4,2,2
7121984,2,1,1,1,4,1,2
7121985,2,1,1,1,4,1,2
7121987,2,1,1,1,4,1,2
7121990,2,1,1,1,4,1,2
7121992,2,1,2,1,4,1,3
7121993,2,1,2,1,4,1,3
7121995,2,1,1,1,6,4,2
7121997,2,1,1,1,6,3,2
7122001,2,2,1,1,4,2,2
7122002,2,2,1,1,4,3,2
7122003,2,2,1,2,4,2,2
7122004,2,2,1,1,4,3,2
7122005,2,2,1,1,4,3,2
7122007,2,2,1,1,4,3,2
7122008,2,2,1,1,4,3,2
7122009,2,2,1,1,4,3,2
7122010,2,1,1,1,4,3,3
7122011,2,1,1,1,4,3,3
7122012,2,1,1,1,4,1,3
7122013,2,1,2,1,4,3,3
7122014,2,1,1,1,4,1,3
7122015,2,1,2,1,4,1,2
7122020,2,1,1,1,4,3,3
7122023,2,1,2,1,4,3,3
7122025,2,2,1,1,6,4,1
7122026,2,2,1,5,4,4, 
7122027,2,2,1,1,6,4,0
7122029,2,2,1,1,6,4,0
7122030,2,2,1,1,6,4,1
7122031,2,2,1,5,7,4,0
7122033,2,2,1,3,6,4,1
7122034,2,2,1,5,6,4,1
7122035,2,2,1,1,4,4,0
7122036,2,1,1,1,7,4,2
7122037,2,1,1,1,7,4,2
7122038,2,1,1,1,6,4,2
7122039,2,1,1,5,7,4,2
7122040,2,1,1,1,6,4,2
