DIRECTORIO,Parentesco,Recibieron_Subsidio,Dinero_subsidio,SubsidioS
7159654,1,1,408000,1
7160282,1,1,800000,1
7160469,1,1,1433000,1
7160682,1,1,600000,1
7161347,1,1,6000000,1
7161705,1,5,700000,1
7161713,1,1,420000,1
7161716,1,3,180000,1
7161898,1,1,408000,1
7161961,1,1,1000000,1
7162452,1,1,540000,1
7162492,1,1,800000,1
7162714,1,3,280000,1
7163142,1,2,56000,1
7163150,1,1,500000,1
7163255,1,4,900000,1
7163267,1,1,1200000,1
7163617,1,1,12400000,1
7163818,1,1,1200000,1
7163828,1,1,120000,1
7163833,1,2,1200000,1
7163836,1,1,120000,1
7163837,1,1,1200000,1
7163839,1,2,2000000,1
7163841,1,1,1200000,1
7163847,1,4,1200000,1
7163849,1,2,900000,1
7163850,1,1,600000,1
7163851,1,1,1200000,1
7163858,1,1,720000,1
7163862,1,1,600000,1
7163880,1,1,2400000,1
7163887,1,1,1200000,1
7163897,1,1,99,1
7163902,1,1,1200000,1
7163907,1,1,1200000,1
7163908,1,1,2400000,1
7163909,1,1,200000,1
7163918,1,1,600000,1
7163932,1,1,1000000,1
7163936,1,1,1200000,1
7163942,1,1,1200000,1
7163945,1,1,1800000,1
7163947,1,1,1200000,1
7163954,1,1,100000,1
7163957,1,3,300000,1
7163968,1,1,2500000,1
7163969,1,1,99,1
7163972,1,1,1440000,1
7163974,1,2,200000,1
7163977,1,1,1200000,1
7163978,1,4,99,1
7164293,1,5,4500000,1
7164346,1,1,80000,1
7164354,1,1,960000,1
7165118,1,5,2040000,1
7165129,1,1,825000,1
7165136,1,3,800000,1
7165145,1,2,1400000,1
7165154,1,1,300000,1
7165162,1,1,1800000,1
7165163,1,1,900000,1
7165168,1,1,600000,1
7165172,1,1,1800000,1
7165174,1,1,1800000,1
7165175,1,1,500000,1
7165176,1,1,1800000,1
7165178,1,1,750000,1
7165295,1,1,200000,1
7165388,1,3,1000000,1
7165414,1,1,1200000,1
7165422,1,1,215000,1
7165435,1,1,300000,1
7165451,1,1,1400000,1
7165451,2,1,2400000,1
7165453,1,1,1400000,1
7165456,1,1,1400000,1
7165461,1,1,400000,1
7165466,1,1,98,1
7165468,1,1,1300000,1
7165519,1,1,400000,1
7165809,1,1,450000,1
7165859,1,1,336000,1
7165861,1,2,672000,1
7165934,1,1,360000,1
7165973,1,1,900000,1
7166176,1,1,189000,1
7166246,1,1,780000,1
7166521,1,2,266000,1
7166623,1,1,600000,1
7166752,1,1,1000000,1
7166769,1,1,300000,1
7166775,1,1,1200000,1
7167046,1,2,1300000,1
7167049,1,1,586000,1
7167063,1,1,1300000,1
7167068,1,1,600000,1
7167103,1,1,548000,1
7167217,1,1,2934000,1
7167584,1,1,1600000,1
7167813,1,1,2400000,1
7167876,1,1,415000,1
7167879,1,1,6000000,1
7167888,1,1,2000000,1
7167892,1,1,2000000,1
7167902,1,1,8000000,1
7167910,1,1,2000000,1
7167915,1,1,1300000,1
7167923,1,1,1800000,1
7167928,1,1,1800000,1
7167930,1,1,4000000,1
7167933,1,1,1800000,1
7167935,1,1,1800000,1
7167939,1,1,4000000,1
7167949,1,1,8000000,1
7167950,1,1,3800000,1
7167951,1,2,9000000,1
7168052,1,1,1600000,1
7168394,1,3,1008000,1
7168965,1,1,400000,1
7169484,1,1,960000,1
7169892,1,3,2700000,1
7170066,1,5,700000,1
7170520,1,2,736000,1
7170853,1,1,200000,1
7170855,1,1,720000,1
7170928,1,1,480000,1
7171340,1,1,336000,1
7171381,1,1,112000,1
7171407,1,1,1200000,1
7171524,1,1,800000,1
7171609,1,1,1800000,1
7171747,1,1,300000,1
7171770,1,1,140000,1
7171773,1,1,1440000,1
7171778,1,1,2000000,1
7172043,1,1,2000000,1
7172046,1,1,252500,1
7172048,1,2,760000,1
7172054,1,4,800000,1
7172055,1,3,864000,1
7172056,1,1,616000,1
7172199,1,1,117000,1
7172201,1,2,720000,1
7172227,1,1,90000,1
7172270,1,1,960000,1
7172272,1,1,70000,1
7172272,1,1,70000,1
7172275,1,1,1200000,1
7172301,1,2,2400000,1
7172612,1,1,360000,1
7172616,1,2,720000,1
7173097,1,1,1500000,1
7173343,1,1,99,1
7173523,1,1,1758000,1
7173819,1,1,1200000,1
7173836,1,1,1200000,1
7173843,1,1,900000,1
7173844,1,1,99,1
7173848,1,2,2400000,1
7174143,1,1,1400000,1
7174602,1,3,1080000,1
7174633,1,2,330000,1
7174795,1,1,900000,1
7175382,1,5,770000,1
7175391,1,2,750000,1
7175393,1,5,1100000,1
7175424,1,1,400000,1
7175430,1,7,900000,1
7175431,1,8,1000000,1
7175435,1,3,1700000,1
7175436,1,1,600000,1
7175633,1,1,360000,1
7176044,1,1,600000,1
7176489,1,1,800000,1
7176494,1,1,400000,1
7176561,1,1,8400000,1
7176593,1,1,300000,1
7176784,1,1,800000,1
7176852,1,3,1500000,1
7176956,1,1,2400000,1
7176956,1,1,2400000,1
7177015,1,2,70000,1
7177022,1,1,990000,1
7177025,1,1,150000,1
7177047,1,1,210000,1
7177049,1,1,3900000,1
7177050,1,1,1500000,1
7177092,1,1,400000,1
7177094,1,1,500000,1
7177097,1,1,520000,1
7177159,1,1,1728000,1
7177248,1,1,894000,1
7177322,1,1,840000,1
7177343,1,1,260000,1
7177572,1,1,800000,1
7177798,1,1,900000,1
7178150,1,2,600000,1
7178249,1,1,1185000,1
7178250,1,2,708000,1
7178513,1,1,380000,1
7178894,1,2,1000000,1
7178979,1,1,1500000,1
7179012,1,3,99,1
7179018,1,4,99,1
7179026,1,1,1200000,1
7179027,1,4,99,1
7179029,1,1,1200000,1
7179031,1,5,99,1
7179033,1,1,1200000,1
7179034,1,3,99,1
7179043,1,4,99,1
7179050,1,1,1200000,1
7179053,1,1,99,1
7179057,1,1,1500000,1
7179060,1,1,1500000,1
7179063,1,2,99,1
7179064,1,1,1800000,1
7179066,1,8,99,1
7179067,1,1,1200000,1
7179088,1,2,99,1
7179092,1,2,99,1
7179098,1,1,1800000,1
7179109,1,1,12000000,1
7179116,1,1,1140000,1
7179367,1,1,960000,1
7179410,1,1,700000,1
7179649,1,1,520000,1
7179791,1,1,450000,1
7179809,1,1,2400000,1
7180257,1,1,800000,1
7180368,1,2,300000,1
7180376,1,1,76048,1
7180387,1,1,840000,1
7180387,2,1,600000,1
7180394,1,1,600000,1
7180398,1,1,840000,1
7180398,2,1,600000,1
7180402,1,1,840000,1
7180402,2,1,600000,1
7180403,1,1,600000,1
7180407,1,1,600000,1
7180413,1,2,1200000,1
7180415,1,1,600000,1
7180422,1,1,600000,1
7180425,1,1,600000,1
7180430,1,1,600000,1
7180430,2,1,840000,1
