DIRECTORIO,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Hijos,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,ORDEN,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes,Recibieron_Subsidio,Dinero_subsidio,SubsidioS,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7123197,3,1,83,1,6,1,3,3,6,1,6,4,4,6,7,4,5,0,3,1,1,1,6,4,1,1,4,1,605000,302500,2,1,2,2,3,2,1,2,3, ,4,2,2,2,2,2.0,300000.0,1.0, ,2, ,15000, 
7123220,3,1,63,1,2,1,3,3,6,1,10,10,10,8,10,0,8,0,3,2,1,6,6,4,1,1,2,1,930000,465000,2,1,2,2,2,2,1,2,3, ,1,2,2,2,2,1.0,360000.0,1.0, ,2, ,0, 
7123220,3,1,63,1,2,1,3,3,6,1,10,10,10,8,10,0,8,0,3,2,1,6,6,4,1,1,2,1,930000,465000,2,1,2,2,2,2,1,2,3, ,1,2,2,2,2,1.0,360000.0,1.0, ,2, ,0, 
7123255,3,1,57,1,6,2,3,3,6,2,5,4,4,6,8,0,6,1,2,1,2,1,4,3,2,1,3,2,4628333,2314166,2,1,3,2,2,2,1,2,11, ,1,1,2,2,2,1.0,1600000.0,1.0,2,1, ,40000,8000
7123307,3,2,40,1,5, ,3,1,6,2,8,8,6,7,7,5,8,0,4,1,2,1,6,4,1,1,3,2,160000,80000,2,1,2,2,2,2,1,2,4, ,4,2,2,2,2,1.0,720000.0,1.0, , , ,30000,6000
7123307,3,2,40,1,5, ,3,1,6,2,8,8,6,7,7,5,8,0,4,1,2,1,6,4,1,1,3,2,160000,80000,2,1,2,2,2,2,1,2,4, ,4,2,2,2,2,1.0,720000.0,1.0, , , ,30000,6000
7123335,3,1,50,1,2,1,3,3,6,1,7,4,8,5,5,5,5,0,4,1,1,3,6,4,2,1,2,1,582000,291000,2,1,3,2,2,2,1,2,3, ,1,2,2,2,2,1.0,492000.0,1.0, , , ,10500,80000
7123335,3,1,50,1,2,1,3,3,6,1,7,4,8,5,5,5,5,0,4,1,1,3,6,4,2,1,2,1,582000,291000,2,1,3,2,2,2,1,2,3, ,1,2,2,2,2,1.0,492000.0,1.0, , , ,10500,80000
7123389,3,1,76,1,6,2,3,3,6,2,3,4,0,0,2,4,6,1,3,1,1,1,6,4,2,1,4,2,1630459,815229,2,1,3,2,4,1,1,2,3, ,4,3,1,2,2,1.0,4000000.0,1.0,1,1, ,34000,16000
7123507,3,2,33,1,5, ,2,2,1,2,5,2,7,7,5,6,4,1,9,1,2,1,4,1,1,1,3,2,1091449,545724,2,1,2,2,2,2,1,2,5, ,1,2,2,2,2,1.0,3000000.0,1.0, ,2,1,30000, 
7123509,3,1,51,1,2,1,2,3,6,2,5,3,2,4,5,4,2,4,9,1,1,1,4,1,1,1,3,2,1633333,272222,6,1,2,2,3,2,1,2,3, ,6,2,2,2,2,1.0,5000000.0,1.0, , ,2,16000, 
7123648,3,1,54,1,2,1,2,2,6,1,7,5,5,6,7,2,7,0,9,1,1,1,6,3,1,1,3,1,1083333,541666,2,1,3,2,3,1,1,2,5, ,2,2,2,2,2,2.0,10000000.0,1.0, , , ,30000,27000
7123648,3,1,54,1,2,1,2,2,6,1,7,5,5,6,7,2,7,0,9,1,1,1,6,3,1,1,3,1,1083333,541666,2,1,3,2,3,1,1,2,5, ,2,2,2,2,2,2.0,10000000.0,1.0, , , ,30000,27000
7123706,3,1,81,1,6,1,3,3,6,1,0,5,5,0,5,5,4,0,9,1,1,5,5,4,0,1,2,1,300000,150000,2,1,3,2,3,2,2,2,1, ,1,2,2,2,2,2.0,900000.0,1.0, ,1, ,0, 
7123706,3,1,81,1,6,1,3,3,6,1,0,5,5,0,5,5,4,0,9,1,1,5,5,4,0,1,2,1,300000,150000,2,1,3,2,3,2,2,2,1, ,1,2,2,2,2,2.0,900000.0,1.0, ,1, ,0, 
7123866,3,1,55,1,6,1,3,2,6,2,7,6,6,10,5,6,6,1,1,1,2,1,4,3,1,1,3,2,1263666,421222,3,1,9,2,3,2,1,2,5, ,1,2,2,2,2,1.0,400000.0,1.0,2,1, ,40000,20000
7123953,3,2,42,1,2,1,3,2,6,2,8,7,5,6,0,0,9,0,2,1,1,1,7,4,1,1,3,1,392833,196416,2,1,2,2,3,2,1,2,7, ,4,2,2,2,2,1.0,514000.0,1.0, ,1, ,25000, 
7123953,3,2,42,1,2,1,3,2,6,2,8,7,5,6,0,0,9,0,2,1,1,1,7,4,1,1,3,1,392833,196416,2,1,2,2,3,2,1,2,7, ,4,2,2,2,2,1.0,514000.0,1.0, ,1, ,25000, 
7124158,3,2,46,1,6,1,2,2,1,2,5,5,4,0,5,5,0,1,9,1,1,4,7,4, ,1,2,1,2073333,691111,3,1,3,2,2,2,1,2,5, ,1,2,2,2,2,1.0,600000.0,1.0, , , , , 
7124160,3,1,24,1,5, ,2,2,6,2,9,8,10,6,9,0,7,0,9,1,2,1,4,1,9,1,1,1,1009333,1009333,1,1,9,2,1,2,1,1, ,1,1,2,2,2,2,1.0,400000.0,1.0, ,2, ,10000, 
