Hijos,Edad,Cultura,Felicidad,Ingreso_Hogares,Ingreso_Per_capita,Nivel_educativo,Actividad
1,35,6,10,2655000,531000,7,1
2,23,6,10,1911666,477916,5,4
2,45,6,8,1200000,300000,3,4
1,42,6,7,1090000,363333,9,4
1,51,6,10,873200,291066,3,1
2,22,6,10,912500,228125,7,4
2,42,6,10,2900000,725000,5,4
1,45,6,5,1600000,533333,4,1
1,42,6,7,1580000,263333,3,4
2,39,6,10,1260000,315000,3,1
1,27,6,10,3686250,1228750,5,1
0,64,6,9,616666,308333,3,4
0,64,6,9,616666,308333,3,4
0,62,6,10,2346666,782222,3,4
0,62,6,10,2346666,782222,3,4
0,62,6,10,2346666,782222,3,4
0,42,6,10,2900000,1450000,5,4
0,42,6,10,2900000,1450000,5,4
3,26,6,10,1217500,243500,4,4
2,46,6,7,1018333,254583,3,1
1,43,6,10,1292333,430777,7,1
4,35,6,10,1687000,281166,3,4
1,73,6,7,4600000,2300000,13,6
0,45,6,7,5265000,5265000,13,1
0,35,6,4,400000,400000,4,1
1,21,6,8,833333,277777,4,4
3,38,6,8,1973833,394766,4,4
2,31,6,7,1647333,411833,3,1
1,55,6,10,744500,248166,3,4
1,29,6,8,800000,266666,5,4
1,52,6,7,1750000,583333,5,4
1,68,6,10,2630000,526000,11,4
1,75,6,10,715000,238333,3,5
1,44,6,6,1595000,531666,3,1
2,29,6,5,1050000,262500,7,4
2,29,6,2,1050000,262500,11,1
2,38,6,10,2200000,550000,11,4
2,42,6,10,2200000,550000,3,1
0,63,6,8,1300000,433333,3,5
0,63,6,8,1300000,433333,3,5
0,63,6,8,1300000,433333,3,5
1,27,6,7,1805000,601666,5,1
0,80,6,6,1341666,670833,3,4
0,80,6,6,1341666,670833,3,4
0,73,6,5,695000,695000,3,4
0,38,6,8,1600000,1600000,5,1
0,59,6,10,5400000,2700000,3,4
0,59,6,10,5400000,2700000,3,4
0,60,6,10,5400000,2700000,13,1
0,60,6,10,5400000,2700000,13,1
0,28,6,9,950000,950000,3,1
2,36,6,8,1337666,445888,7,1
3,41,6,8,1712666,342533,6,1
3,52,6,7,1712666,342533,3,1
1,53,6,10,550000,275000,3,4
1,56,6,10,2266666,566666,3,1
1,51,6,7,2266666,566666,3,4
0,62,6,6,828116,414058,4,1
0,62,6,6,828116,414058,4,1
0,54,6,3,828116,414058,3,4
0,54,6,3,828116,414058,3,4
2,40,6,10,1389782,463260,5,1
1,55,6,4,900000,450000,3,4
1,76,6,9,1048333,262083,3,4
0,40,6,6,4036333,4036333,13,1
0,89,6,9,4215190,2107595,5,5
0,89,6,9,4215190,2107595,5,5
0,68,6,10,4215190,2107595,5,4
0,68,6,10,4215190,2107595,5,4
0,73,6,9,1136666,568333,3,4
0,73,6,9,1136666,568333,3,4
0,65,6,10,1136666,568333,3,4
0,65,6,10,1136666,568333,3,4
1,61,6,8,4100000,1366666,5,6
0,66,5,10,5428116,1357029,11,6
0,66,5,10,5428116,1357029,11,6
0,66,5,10,5428116,1357029,11,6
0,66,5,10,5428116,1357029,11,6
0,66,6,8,5428116,1357029,11,6
0,66,6,8,5428116,1357029,11,6
0,66,6,8,5428116,1357029,11,6
0,66,6,8,5428116,1357029,11,6
0,49,6,8,550000,275000,5,1
0,49,6,8,550000,275000,5,1
2,47,6,9,5361449,1340362,11,1
2,31,6,8,5361449,1340362,11,1
0,72,6,7,800000,400000,3,1
0,72,6,7,800000,400000,3,1
0,64,6,10,800000,400000,3,1
0,64,6,10,800000,400000,3,1
1,31,6,8,2780833,1390416,13,1
0,52,6,8,6540000,3270000,13,1
0,52,6,8,6540000,3270000,13,1
0,37,6,5,6540000,3270000,13,1
0,37,6,5,6540000,3270000,13,1
1,85,6,8,525000,262500,3,4
1,43,6,10,2300000,766666,11,1
1,35,6,10,2300000,766666,11,4
0,33,6,8,5000000,5000000,11,1
3,48,6,7,4075000,815000,13,2
3,49,6,8,4075000,815000,13,1
0,32,6,7,1120000,560000,11,2
0,32,6,7,1120000,560000,11,2
0,66,6,7,1408333,704166,3,6
0,66,6,7,1408333,704166,3,6
0,80,5,6,1408333,704166,3,6
0,80,5,6,1408333,704166,3,6
1,58,6,6,2500000,1250000,3,4
1,96,6,9,8293750,2107916,3,5
1,37,6,6,700000,350000,5,4
2,36,6,8,2801407,933802,7,1
0,69,6,5,1100000,550000,4,4
0,69,6,5,1100000,550000,4,4
0,51,6,5,1100000,550000,4,4
0,51,6,5,1100000,550000,4,4
0,61,6,10,800000,400000,4,1
0,61,6,10,800000,400000,4,1
0,59,6,10,800000,400000,4,4
0,59,6,10,800000,400000,4,4
0,56,6,10,9400000,4700000,4,1
0,56,6,10,9400000,4700000,4,1
0,49,6,10,9400000,4700000,4,4
0,49,6,10,9400000,4700000,4,4
0,60,6,8,1744287,436071,7,1
0,60,6,8,1744287,436071,7,1
0,60,6,8,1744287,436071,7,1
0,60,6,8,1744287,436071,7,1
0,58,6,10,1744287,436071,5,1
0,58,6,10,1744287,436071,5,1
0,58,6,10,1744287,436071,5,1
0,58,6,10,1744287,436071,5,1
