DIRECTORIO,REGION,CANT_HOGARES_VIVIENDA,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,SECUENCIA_ENCUESTA_x,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas,SECUENCIA_P,ID,Sexo,Edad,Parentesco,Estado_civil,Conyuge,Padre_vive,Madre_vive,Cultura,Campesino,Satisfaccion_vida,Satisfaccion_economica,Satisfaccion_salud,Satisfaccion_trabajo,Felicidad,Tristeza,Escalon_vida,Tiene_EPS,Percepcion,Prepagada,Estado_salud,Enfermedad_grave,Sabe_escribir_leer,Estudia?,Nivel_educativo,Publico_privado,Actividad,Pension,Recibe_ingreso,Recibe_ingreso_alimento,Recibe_ingreso_bienes
7122496,9,1,2,1,1,6,4,1,1,3,2,110833,18472,6,5,250000, ,2, ,178000, ,1,5,2,22,3,5, ,2,1,6,2,5,1,9,5,10,0,5,2, ,2,2,2,1,2,5, ,4,2,2,2,2
7122496,9,1,2,1,1,6,4,1,1,3,2,110833,18472,6,5,250000, ,2, ,178000, ,1,5,2,17,3,5, ,2,1,6,2,9,99,9,0,10,0,8,2, ,2,2,2,1,1, ,1,3,2,2,2,2
7122496,9,1,2,1,1,6,4,1,1,3,2,110833,18472,6,5,250000, ,2, ,178000, ,1,5,2,15,3,5, ,1,1,6,2,10,99,10,0,5,5,10,2, ,2,1,2,1,1, ,1,3,2,2,2,2
7122496,9,1,2,1,1,6,4,1,1,3,2,110833,18472,6,5,250000, ,2, ,178000, ,1,5,1,12,3,5, ,1,1,6, , , , , , , , ,2, ,2,2,2,1,1, ,1,3, ,2,2,2
7122686,9,1,1,1,1,6,4,1,1,4,2,3535833,707166,5,1,8640000,2,1, ,30500, ,1,3,2,65,1,6,2,3,3,6,1,9,5,5,7,5,1,10,1,2,2,2,1,1,2,3, ,4,2,2,2,2
7122686,9,1,1,1,1,6,4,1,1,4,2,3535833,707166,5,1,8640000,2,1, ,30500, ,1,3,1,40,3,5, ,2,1,6,2,8,4,8,6,7,3,8,1,3,2,2,2,1,2,11, ,1,1,2,2,2
7122686,9,1,1,1,1,6,4,1,1,4,2,3535833,707166,5,1,8640000,2,1, ,30500, ,1,3,1,21,4,4, ,2,2,6,1,4,5,8,2,4,9,2,1,9,2,3,2,1,2,4, ,4,2,2,2,2
7122686,9,1,1,1,1,6,4,1,1,4,2,3535833,707166,5,1,8640000,2,1, ,30500, ,1,3,1,19,4,5, ,2,2,6,2,9,5,10,8,8,0,5,1,2,2,2,1,1,2,4, ,1,2,2,2,2
7122810,9,1,2,1,1,3,3,3,1,3,2,1467333,489111,3,3,1480000, ,2,1,40000, ,1,3,1,35,1,2,1,2,2,6,1,10,5,3,10,9,1,9,1,4,2,4,1,1,2,4, ,1,2,2,2,2
7122810,9,1,2,1,1,3,3,3,1,3,2,1467333,489111,3,3,1480000, ,2,1,40000, ,1,3,2,31,2,2,1,3,2,6,1,10,5,9,9,10,1,10,1,3,2,1,2,1,2,4, ,4,2,2,2,2
7122831,1,1,1,2,1,6,3,2,1,3,2,490000,163333,3,1,400000,2,2, ,70000,20000,1,3,2,19,1,5, ,2,2,6,2,8,8,10,10,9,0,10,1,2,2,2,2,1,1, ,1,3,2,2,2,2
7122831,1,1,1,2,1,6,3,2,1,3,2,490000,163333,3,1,400000,2,2, ,70000,20000,1,3,1,23,7,5, ,2,2,6,2,9,1,10,1,10,0,6,1,2,2,2,2,1,2,5, ,1,2,2,2,2
7122831,1,1,1,2,1,6,3,2,1,3,2,490000,163333,3,1,400000,2,2, ,70000,20000,1,3,2,18,7,5, ,2,2,6,2,9,9,9,10,10,0,10,1,2,2,2,2,1,2,5, ,1,2,2,2,2
7122923,1,1,1,1,1,6,4,1,1,3,2,1716666,429166,4,1,2600000,2,1, ,58000,24000,1,3,2,53,1,3, ,2,2,6,1,10,99,10,0,10,0,10,1,2,2,2,2,1,2,3, ,4,2,2,2,2
7122923,1,1,1,1,1,6,4,1,1,3,2,1716666,429166,4,1,2600000,2,1, ,58000,24000,1,4,1,24,3,5, ,2,1,6,2,8,4,10,3,9,0,5,1,3,2,1,2,1,2,5, ,4,2,2,2,2
7122923,1,1,1,1,1,6,4,1,1,3,2,1716666,429166,4,1,2600000,2,1, ,58000,24000,1,3,1,29,3,5, ,2,1,6,2,9,8,10,7,8,0,6,1,2,2,2,2,1,2,5, ,1,2,2,2,2
7122951,1,1,1,1,1,6,3,1,1,3,2,463333,154444,3,1,300000, , , ,22000,15400,1,3,2,35,1,4, ,2,2,6,1,9,5,8,7,8,8,8,1,2,2,2,2,1,2,5, ,1,2,2,2,2
7122951,1,1,1,1,1,6,3,1,1,3,2,463333,154444,3,1,300000, , , ,22000,15400,1,2,1,13,3,5, ,2,1,6, , , , , , , , ,1,2,2,2,2,1,1, ,1,3, ,2,2,2
7123027,1,1,1,1,1,4,3,3,1,4,2,1798000,599333,3,1,1200000,3,2,1,250000,100000,1,3,2,46,1,6,2,2,2,6,2,5,5,5,0,0,0,8,1,2,2,3,1,1,2,7, ,4,2,2,2,2
7123027,1,1,1,1,1,4,3,3,1,4,2,1798000,599333,3,1,1200000,3,2,1,250000,100000,1,3,2,18,3,5, ,2,1,6,2,10,10,7,10,6,6,7,1,2,2,3,1,1,1, ,1,3,2,2,2,2
7123027,1,1,1,1,1,4,3,3,1,4,2,1798000,599333,3,1,1200000,3,2,1,250000,100000,1,2,2,15,3,5, ,2,1,6,2,6,99,10,10,10,6,8,1,3,2,2,2,1,1, ,1,3,2,9,2,2
7123160,3,1,1,2,1,6,4,1,1,2,1,66666,66666,1,1,800000,2,1, ,16000,2000,1,3,1,22,1,5, ,2,2,6,2,8,8,8,7,7,2,8,1,2,2,2,2,1,1, ,1,3,2,2,2,2
7123161,3,1,1,1,1,6,4,1,1,1,1,674166,168541,4,1,90000,2,1, ,80000,60000,1,3,2,32,1,2,1,2,2,6,2,1,1,8,1,1,9,1,1,4,2,2,2,1,2,5, ,4,2,2,2,2
7123161,3,1,1,1,1,6,4,1,1,1,1,674166,168541,4,1,90000,2,1, ,80000,60000,1,3,1,46,2,2,1,3,2,6,2,3,3,5,2,5,5,4,1,4,2,3,2,1,2,5, ,2,2,2,2,2
