DIRECTORIO,REGION,Ubicacion,Tipo_vivienda,Material_exterior,Material_piso,Material_techo,Estrato,Num_Cuartos,Num_cuartos_para_dormir,Ingreso_hogar,Ingreso_percapita,cantidad_personas,Recibieron_Subsidio,Dinero_subsidio,Veces_lavadora,Tamaño_nevera,Horas_pc,Pago_energia,Pago_gas
7127391,9.0,1.0,1.0,1.0,6.0,4.0,1,6,5,1758333,219791,8,1,100000,3,2, ,72000, 
7127398,9.0,1.0,1.0,1.0,6.0,4.0,1,2,2,2221666,555416,4,1,260000,3,1, ,22000,32000
7127419,1.0,1.0,1.0,1.0,4.0,1.0,2,4,2,1383333,345833,4,1,1000000, ,2, ,80000,16000
7127950,1.0,1.0,2.0,1.0,6.0,4.0,1,3,2,226666,45333,5,1,800000,2,1, ,30000,0
7127965,1.0,1.0,2.0,1.0,4.0,3.0,3,2,1,1059616,529808,2,1,348000,2,1, ,140000,0
7128033,1.0,2.0,1.0,4.0,7.0,3.0,1,2,1,663333,663333,1,1,1000000, , , ,6510,11000
7128233,2.0,2.0,2.0,1.0,4.0,1.0,2,3,1,1324666,441555,3,1,412000, , , ,34020,6000
7128264,2.0,2.0,2.0,1.0,6.0,4.0,2,4,3,3323333,553888,6,1,480000,5,1, ,114779,25000
7128474,3.0,1.0,2.0,1.0,4.0,4.0,2,2,1,333333,333333,1,1,800000, ,1, ,97,97
7128478,3.0,1.0,1.0,1.0,4.0,4.0,1,5,3,1355000,338750,4,2,1600000, ,2, ,40000,10000
7128482,3.0,1.0,2.0,1.0,4.0,4.0,2,2,1,478333,478333,1,1,800000, ,1, ,97, 
7128530,3.0,2.0,1.0,1.0,6.0,4.0,1,4,2,1533333,383333,4,4,1600000,1, , ,34000, 
7128532,3.0,2.0,1.0,5.0,6.0,4.0,1,3,1,530000,530000,1,1,1200000, ,1, ,13000, 
7128826,2.0,2.0,1.0,5.0,7.0,4.0,2,3,1,578333,289166,2,1,520000, ,1, ,12430, 
7129008,2.0,1.0,2.0,1.0,6.0,3.0,1,3,2,1531616,306323,5,1,400000,3,1, ,60000, 
7129071,2.0,1.0,3.0,6.0,6.0,4.0,1,1,1,703000,234333,3,1,276000, , , ,30000, 
7129075,2.0,1.0,1.0,1.0,6.0,4.0,2,1,1,420000,70000,6,5,99, , , ,52000, 
7129088,2.0,1.0,1.0,1.0,6.0,4.0,2,3,2,1485583,495194,3,1,27000, ,1, ,59000,0
7129375,7.0,1.0,2.0,1.0,4.0,1.0,2,3,1,961839,320613,3,1,800000,2,1, ,60000,15000
7129559,3.0,2.0,1.0,1.0,6.0,3.0,1,3,2,1429782,476594,3,1,550000, , , ,27000, 
7129738,3.0,1.0,1.0,1.0,4.0,4.0,2,4,2,1300000,433333,3,1,2400000,2,1,30,52000,22000
7129851,3.0,1.0,2.0,1.0,4.0,3.0,2,2,2,1411574,470524,3,1,35000, ,1, ,42526, 
7130332,9.0,1.0,1.0,1.0,6.0,4.0,2,1,1,1041666,520833,2,2,500000, , , ,47000, 
7130461,9.0,1.0,1.0,3.0,7.0,4.0,1,3,2,200000,66666,3,3,98, , , ,25000, 
7130480,9.0,2.0,4.0,4.0,7.0,4.0,1,4,4,240000,60000,4,2,180000, , , ,20600, 
7130595,9.0,2.0,4.0,8.0,7.0,7.0, ,1,1,141666,23611,6,3,200000, , , , , 
7130597,9.0,2.0,1.0,8.0,7.0,4.0, ,2,2,512500,128125,4,4,750000, , , , , 
